Price,Close,High,Low,Open,Volume
Ticker,ED,ED,ED,ED,ED
Date,,,,,
1962-01-02,0.2467450201511383,0.25055281367198917,0.2467450201511383,0.0,25600
1962-01-03,0.2467450201511383,0.24864891691156374,0.2467450201511383,0.0,28800
1962-01-04,0.2459835410118103,0.24826821786331318,0.2459835410118103,0.0,21600
1962-01-05,0.24065260589122772,0.24446040028824081,0.24065260589122772,0.0,46400
1962-01-08,0.24179485440254211,0.24446030949044414,0.24103329580599867,0.0,29600
1962-01-09,0.2414141595363617,0.24446039498792463,0.24141415953636172,0.0,40000
1962-01-10,0.24065260589122772,0.24293728252943558,0.22846766382078582,0.0,20800
1962-01-11,0.24179485440254211,0.24293719229735727,0.24103329580599867,0.0,25600
1962-01-12,0.2436988800764084,0.24446043907664716,0.24141420307569206,0.0,16000
1962-01-15,0.24446037411689758,0.24446037411689758,0.24293725652115367,0.0,34400
1962-01-16,0.24103336036205292,0.24369881616384498,0.24065258096179692,0.0,57600
1962-01-17,0.24065260589122772,0.24293728252943558,0.24065260589122772,0.0,24800
1962-01-18,0.24065260589122772,0.24293728252943558,0.24065260589122772,0.0,37600
1962-01-19,0.24027195572853088,0.2406527353731086,0.23798727786106466,0.0,29600
1962-01-22,0.23989103734493256,0.24293727273978885,0.23951025792057554,0.0,24800
1962-01-23,0.2368447482585907,0.23951020362484493,0.2368447482585907,0.0,32000
1962-01-24,0.23608334362506866,0.23722568238454478,0.23494100486559252,0.0,40000
1962-01-25,0.23227554559707642,0.23646412100948272,0.23227554559707644,0.0,72000
1962-01-26,0.23227554559707642,0.2334178843459145,0.23151398643118437,0.0,35200
1962-01-29,0.23341768980026245,0.2345600275970011,0.2322753520035238,0.0,39200
1962-01-30,0.23687861859798431,0.23764770502200375,0.23687861859798431,0.0,40800
1962-01-31,0.2361096888780594,0.23687877581251562,0.2361096888780594,0.0,24000
1962-02-01,0.23687861859798431,0.23726316180999402,0.23572498896195518,0.0,38400
1962-02-02,0.23687861859798431,0.23687861859798431,0.23572498896195518,0.0,33600
1962-02-05,0.23687861859798431,0.23687861859798431,0.23534044574994545,0.0,24000
1962-02-06,0.23649409413337708,0.23687863737587037,0.2345713779209106,0.0,38400
1962-02-07,0.23764781653881073,0.23764781653881073,0.23572509957652263,0.0,28000
1962-02-08,0.23572491109371185,0.2368785403486566,0.23572491109371185,0.0,24000
1962-02-09,0.23687861859798431,0.23687861859798431,0.23534044574994545,0.0,17600
1962-02-12,0.23687861859798431,0.23687861859798431,0.23572498896195518,0.0,22400
1962-02-13,0.24033957719802856,0.24149320716857908,0.2364941439628601,0.0,36000
1962-02-14,0.2438005805015564,0.2438005805015564,0.2411087759849777,0.0,41600
1962-02-15,0.24687685072422028,0.24687685072422025,0.24380050367469727,0.0,38400
1962-02-16,0.2434159517288208,0.24687684203776136,0.24303140836116072,0.0,38400
1962-02-19,0.24418488144874573,0.24418488144874573,0.24341579520796228,0.0,8800
1962-02-20,0.2453385889530182,0.2453385889530182,0.24341587273865284,0.0,26400
1962-02-21,0.2418777495622635,0.2449540961385721,0.24187774956226352,0.0,68000
1962-02-23,0.24149323999881744,0.24264687012620034,0.24149323999881744,0.0,61600
1962-02-26,0.2407241016626358,0.24226227483619897,0.2407241016626358,0.0,25600
1962-02-27,0.23918592929840088,0.24149318906655265,0.23918592929840088,0.0,35200
1962-02-28,0.23995506763458252,0.24072415438982156,0.23880143750172395,0.0,18400
1962-03-01,0.24149323999881744,0.24226232675040604,0.24072415324722887,0.0,19200
1962-03-02,0.24149323999881744,0.24226232675040604,0.24149323999881744,0.0,23200
