Date;Close;High;Low;Open;Volume
02/01/1962;0.24674502;0.250552814;0.24674502;0;25600
03/01/1962;0.24674502;0.248648917;0.24674502;0;28800
04/01/1962;0.245983541;0.248268218;0.245983541;0;21600
05/01/1962;0.240652606;0.2444604;0.240652606;0;46400
08/01/1962;0.241794854;0.244460309;0.241033296;0;29600
09/01/1962;0.24141416;0.244460395;0.24141416;0;40000
10/01/1962;0.240652606;0.242937283;0.228467664;0;20800
11/01/1962;0.241794854;0.242937192;0.241033296;0;25600
12/01/1962;0.24369888;0.244460439;0.241414203;0;16000
15/01/1962;0.244460374;0.244460374;0.242937257;0;34400
16/01/1962;0.24103336;0.243698816;0.240652581;0;57600
17/01/1962;0.240652606;0.242937283;0.240652606;0;24800
18/01/1962;0.240652606;0.242937283;0.240652606;0;37600
19/01/1962;0.240271956;0.240652735;0.237987278;0;29600
22/01/1962;0.239891037;0.242937273;0.239510258;0;24800
23/01/1962;0.236844748;0.239510204;0.236844748;0;32000
24/01/1962;0.236083344;0.237225682;0.234941005;0;40000
25/01/1962;0.232275546;0.236464121;0.232275546;0;72000
26/01/1962;0.232275546;0.233417884;0.231513986;0;35200
29/01/1962;0.23341769;0.234560028;0.232275352;0;39200
30/01/1962;0.236878619;0.237647705;0.236878619;0;40800
31/01/1962;0.236109689;0.236878776;0.236109689;0;24000
01/02/1962;0.236878619;0.237263162;0.235724989;0;38400
02/02/1962;0.236878619;0.236878619;0.235724989;0;33600
05/02/1962;0.236878619;0.236878619;0.235340446;0;24000
06/02/1962;0.236494094;0.236878637;0.234571378;0;38400
07/02/1962;0.237647817;0.237647817;0.2357251;0;28000
08/02/1962;0.235724911;0.23687854;0.235724911;0;24000
09/02/1962;0.236878619;0.236878619;0.235340446;0;17600
12/02/1962;0.236878619;0.236878619;0.235724989;0;22400
13/02/1962;0.240339577;0.241493207;0.236494144;0;36000
14/02/1962;0.243800581;0.243800581;0.241108776;0;41600
15/02/1962;0.246876851;0.246876851;0.243800504;0;38400
16/02/1962;0.243415952;0.246876842;0.243031408;0;38400
19/02/1962;0.244184881;0.244184881;0.243415795;0;8800
20/02/1962;0.245338589;0.245338589;0.243415873;0;26400
21/02/1962;0.24187775;0.244954096;0.24187775;0;68000
23/02/1962;0.24149324;0.24264687;0.24149324;0;61600
